000000	00:00:00
000001	Xerox
000002	Xerox
000003	Xerox
000004	Xerox
000005	Xerox
000006	Xerox
000007	Xerox
000008	Xerox
000009	Xerox
00000A	OmronTateisi
00000B	Matrix
00000C	Cisco
00000D	Fibronics
00000E	Fujitsu
00000F	Next
000010	Sytek
000011	NormerelSyst
000012	InformationT
000013	Camex
000014	Netronix
000015	Datapoint
000016	DuPontPixel
000017	Oracle
000018	WebsterCompu
000019	AppliedDynam
00001A	AMD
00001B	Novell
00001C	BellTechnolo
00001D	Cabletron
00001E	TelsistIndus
00001F	Telco
000020	Dataindustri
000021	SuremanCompC
000022	VisualTechno
000023	AbbIndustria
000024	ConnectAs
000025	Ramtek
000026	ShaKen
000027	JapanRadio
000028	Prodigy
000029	ImcNetworks
00002A	TrwSeddInp
00002B	CrispAutomat
00002C	Autotote
00002D	Chromatics
00002E	SocieteEvira
00002F	Timeplex
000030	VgLaboratory
000031	QpsxCommunic
000032	Marconi
000033	EganMachiner
000034	NetworkResou
000035	Spectragraph
000036	Atari
000037	OxfordMetric
000038	CssLabs
000039	Toshiba
00003A	Chyron
00003B	iControls
00003C	Auspex
00003D	Unisys
00003E	Simpact
00003F	Syntrex
000040	Applicon
000041	Ice
000042	MetierManage
000043	MicroTechnol
000044	Castelle
000045	FordAerospac
000046	OlivettiNort
000047	NicoletInstr
000048	SeikoEpson
000049	ApricotCompu
00004A	AdcCodenollT
00004B	IclData
00004C	NEC
00004D	Dci
00004E	Ampex
00004F	Logicraft
000050	Radisys
000051	HobElectroni
000052	Intrusioncom
000053	Compucorp
000054	SchneiderEle
000055	Commissariat
000056	DrBStruck
000057	Scitex
000058	RacoreComput
000059	Hellige
00005A	SysKonnect
00005B	EltecElektro
00005C	TelematicsIn
00005D	CsTelecom
00005E	ICANNIANADep
00005F	SumitomoElec
000060	KontronEurop
000061	GatewayCommu
000062	BullHnInform
000063	BarcoControl
000064	YokogawaDigi
000065	NetworkGener
000066	Talaris
000067	Soft*Rite
